state,market,avg_min_price,avg_max_price,avg_modal_price
Andaman and Nicobar,Port Blair,12660.0,15433.333333333334,14073.333333333334
Andhra Pradesh,Attili,1750.0,1770.0,1760.0
Andhra Pradesh,Banaganapalli,2733.3333333333335,2883.3333333333335,2816.6666666666665
Andhra Pradesh,Kalikiri,400.0,960.0,620.0
Andhra Pradesh,Mulakalacheruvu,200.0,500.0,300.0
Andhra Pradesh,Vayalapadu,400.0,1120.0,760.0
Assam,Cachar,3300.0,4233.333333333333,4066.6666666666665
Assam,Dhekiajuli,2505.0,2670.0,2650.0
Assam,Gauripur,3170.0,3783.125,3458.75
Assam,Jorhat,3092.8571428571427,4490.0,3650.0
Assam,Kharupetia,1768.75,1912.5,1850.0
Assam,Pamohi(Garchuk),1775.0,2228.5714285714284,1975.0
Chattisgarh,Charama,1500.0,1500.0,1500.0
Chattisgarh,Jagdalpur,4000.0,4410.0,4200.0
Chattisgarh,Lakhanpuri,1500.0,1500.0,1500.0
Chattisgarh,Narharpur,1500.0,1500.0,1500.0
Chattisgarh,Pratappur,4900.0,4900.0,4900.0
Goa,Sanquelim,20166.666666666668,21333.333333333332,20750.0
Gujarat,Ankleshwar,1822.0,2487.0,2265.0
Gujarat,Bachau,4000.0,4025.0,4010.0
Gujarat,Bardoli(Katod),666.6666666666666,1416.6666666666667,1183.3333333333333
Gujarat,Bodeli,5301.0,5520.0,5400.0
Gujarat,Bodeli(Hadod),5301.0,5514.0,5400.0
Gujarat,Bodeli(Kalediya),5301.0,5517.0,5400.0
Gujarat,Bodeli(Modasar),5301.0,5519.0,5400.0
Gujarat,Chikli(Khorgam),3625.0,4062.5,3843.75
Gujarat,Damnagar,1270.0,1470.0,1370.0
Gujarat,Gogamba,2900.0,2990.0,2945.0
Gujarat,Gogamba(Similiya),1650.0,1733.3333333333333,1691.6666666666667
Gujarat,Khambhat(Grain Market),2040.0,2120.0,2080.0
Gujarat,Mandvi,1812.142857142857,3010.714285714286,2411.1428571428573
Gujarat,Nadiyad(Chaklasi),925.0,1225.0,1075.0
Gujarat,Padra,1686.6666666666667,2233.3333333333335,1942.5
Gujarat,S.Mandvi,1812.142857142857,3010.714285714286,2411.1428571428573
Gujarat,Umreth,3375.0,3487.5,3442.5
Gujarat,Vyra,2140.3571428571427,2584.285714285714,2355.1428571428573
Haryana,Faridabad,1630.7692307692307,2469.230769230769,2050.0
Haryana,Madlauda,1200.0,1200.0,1200.0
Haryana,Pataudi,1458.8235294117646,1929.4117647058824,1694.1176470588234
Haryana,Pipli,100.0,400.0,296.0
Haryana,Shahzadpur,2135.0,2484.6666666666665,2350.3333333333335
Haryana,Taura,3220.0,3266.6666666666665,3266.6666666666665
Himachal Pradesh,Bhuntar,3308.8888888888887,3633.3333333333335,3482.222222222222
Himachal Pradesh,Kangra(Jaisinghpur),2440.0,2600.0,2620.0
Himachal Pradesh,Kangra(Jassour),2741.3793103448274,3148.2758620689656,2936.206896551724
Himachal Pradesh,Palampur,3725.8064516129034,3877.4193548387098,4174.193548387097
Jammu and Kashmir,Zaloosa-Chararishrief (F&V),1133.3333333333333,1300.0,1216.6666666666667
Karnataka,Gubbi,9000.0,9000.0,9000.0
Karnataka,Kolar,1550.0833333333333,2077.75,1805.5833333333333
Karnataka,Ramanagara,2317.391304347826,2747.8260869565215,2532.608695652174
Kerala,Anchal,3600.0,3800.0,3700.0
Kerala,Aroor,3685.714285714286,4028.5714285714284,3914.285714285714
Kerala,Chathanoor,4044.4444444444443,4444.444444444444,4244.444444444444
Kerala,Chelakkara,2624.0,2852.0,2732.0
Kerala,Chengannur,2963.6363636363635,3327.2727272727275,3163.6363636363635
Kerala,Ettumanoor,2961.5384615384614,3138.4615384615386,3076.923076923077
Kerala,Irinjalakkuda,3246.153846153846,3246.153846153846,3246.153846153846
Kerala,Kaliyanchanda,4170.0,4490.0,4335.0
Kerala,Kasargod,7583.333333333333,7862.5,7725.0
Kerala,Kodungalloor,2405.0,2422.5,2415.0
Kerala,Kondotty,2850.0,3057.6923076923076,2953.846153846154
Kerala,Kottayam,2733.3333333333335,3033.3333333333335,2933.3333333333335
Kerala,Manjeswaram,5134.482758620689,5844.827586206897,5489.6551724137935
Kerala,Mannar,3711.1111111111113,3966.6666666666665,3855.5555555555557
Kerala,Maranelloor,2421.4285714285716,2685.714285714286,2571.4285714285716
Kerala,Parassala,3875.0,4433.333333333333,3875.0
Kerala,Piravam,2350.0,3100.0,2730.0
